order_no,origin_airport,dest_airport,item_name,piece,weight_kg,width,lenght,height,size_cbm,chargeable_weight_kg,is_dg,cargo_ready_date,desired_arr_date,deadline_date,order_status
GLV-KD-20260819-002,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,105.2,120,100,80,1.92,320.0,N,2026-08-19,2026-08-23,2026-08-30,PENDING
GLV-KD-20260819-002,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,52.6,100,100,80,0.8,133.33,N,2026-08-19,2026-08-23,2026-08-30,PENDING
GLV-KD-20260819-003,ICN,ATL,엔진 실린더 블록 (Engine Block),2,421.7,120,100,143,3.43,572.0,N,2026-08-19,2026-08-23,2026-08-30,PENDING
GLV-KD-20260819-003,ICN,ATL,엔진 실린더 블록 (Engine Block),2,421.7,100,100,110,2.2,421.7,N,2026-08-19,2026-08-23,2026-08-30,PENDING
GLV-KD-20260820-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,120,100,146,5.26,876.0,N,2026-08-20,2026-08-23,2026-08-30,PENDING
GLV-KD-20260820-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,100,100,110,3.3,550.0,N,2026-08-20,2026-08-23,2026-08-30,PENDING
GLV-KD-20260820-002,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1216.28,120,100,160,9.6,1600.0,N,2026-08-20,2026-08-24,2026-08-31,PENDING
GLV-KD-20260820-002,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),4,973.02,100,100,110,4.4,973.02,N,2026-08-20,2026-08-24,2026-08-31,PENDING
GLV-KD-20260820-003,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,96.0,120,100,80,1.92,320.0,N,2026-08-20,2026-08-23,2026-08-30,PENDING
GLV-KD-20260820-003,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,48.0,100,100,80,0.8,133.33,N,2026-08-20,2026-08-23,2026-08-30,PENDING
GLV-KD-20260820-004,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,91.2,120,100,80,1.92,320.0,N,2026-08-20,2026-08-23,2026-08-30,PENDING
GLV-KD-20260820-004,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,45.6,100,100,80,0.8,133.33,N,2026-08-20,2026-08-23,2026-08-30,PENDING
GLV-KD-20260821-001,ICN,ATL,와이어링 하네스 (Wiring Harness),4,220.35,120,100,80,3.84,640.0,N,2026-08-21,2026-08-24,2026-08-31,PENDING
GLV-KD-20260821-001,ICN,ATL,와이어링 하네스 (Wiring Harness),4,220.35,100,100,80,3.2,533.33,N,2026-08-21,2026-08-24,2026-08-31,PENDING
GLV-KD-20260821-002,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,96.93,120,100,80,1.92,320.0,N,2026-08-21,2026-08-24,2026-08-31,PENDING
GLV-KD-20260821-002,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,48.47,100,100,80,0.8,133.33,N,2026-08-21,2026-08-24,2026-08-31,PENDING
GLV-KD-20260821-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),6,1147.25,120,100,145,10.44,1740.0,N,2026-08-21,2026-08-24,2026-08-31,PENDING
GLV-KD-20260821-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,956.05,100,100,110,5.5,956.05,N,2026-08-21,2026-08-24,2026-08-31,PENDING
